"Concatenated","Class_Desc","Primary_Code","Secondary_Code","Tertiary_Code","Quaternary_Code","Primary_Desc","Secondary_Desc","Tertiary_Desc","Quaternary_Desc"
"CI","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","C","I","","","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","",""
"CI01","Factory/Manufacturing","C","I","01","","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing",""
"CI01AW","Aircraft Works","C","I","01","AW","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Aircraft Works"
"CI01BB","Boat Building","C","I","01","BB","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Boat Building"
"CI01BR","Brick Works","C","I","01","BR","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Brick Works"
"CI01BW","Brewery","C","I","01","BW","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Brewery"
"CI01CD","Cider Manufacture","C","I","01","CD","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Cider Manufacture"
"CI01CM","Chemical Works","C","I","01","CM","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Chemical Works"
"CI01CW","Cement Works","C","I","01","CW","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Cement Works"
"CI01DA","Dairy Processing","C","I","01","DA","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Dairy Processing"
"CI01DY","Distillery","C","I","01","DY","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Distillery"
"CI01FL","Flour Mill","C","I","01","FL","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Flour Mill"
"CI01FO","Food Processing","C","I","01","FO","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Food Processing"
"CI01GW","Glassworks","C","I","01","GW","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Glassworks"
"CI01MG","Manufacturing","C","I","01","MG","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Manufacturing"
"CI01OH","Oast House","C","I","01","OH","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Oast House"
"CI01OR","Oil Refining","C","I","01","OR","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Oil Refining"
"CI01PG","Pottery Manufacturing","C","I","01","PG","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Pottery Manufacturing"
"CI01PM","Paper Mill","C","I","01","PM","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Paper Mill"
"CI01PW","Printing Works","C","I","01","PW","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Printing Works"
"CI01YD","Shipyard","C","I","01","YD","Commercial","Industrial Applicable to manufacturing, engineering, maintenance, storage / wholesale distribution and extraction sites","Factory/Manufacturing","Shipyard"
